Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,,C,C1C2C3,100n,C_0603_HandSoldering,3,
2,,D,D1,D,R_0805_HandSoldering,1,
3,,JUMP_3X2,J1,PWR,Straight_2x03,1,
4,,CONN_02X03,P1,SPI-IN,Straight_2x03,1,
5,,CONN_02X03,P3,SPI0,Straight_2x03,1,
6,,CONN_02X03,P5,SPI1,Straight_2x03,1,
7,,CONN_02X03,P7,SPI2,Straight_2x03,1,
8,,CONN_02X03,P2,SPI3,Straight_2x03,1,
9,,CONN_02X03,P4,SPI4,Straight_2x03,1,
10,,CONN_02X03,P6,SPI5,Straight_2x03,1,
11,,CONN_02X03,P8,SPI6,Straight_2x03,1,
12,,74HC00,U1,74HC00,SOIC-14_3.9x8.7mm_Pitch1.27mm,1,
13,,74HC125,U3,74HC125,SOIC-14_3.9x8.7mm_Pitch1.27mm,1,
14,,74HC164,U2,74HC164,SOIC-14_3.9x8.7mm_Pitch1.27mm,1,
